Meeting date,Dish giver,Dish name,Quantity
1748-08-15,Phillip York,haunch of roast venison,1
1748-08-15,Phillip York,neck of roast venison,1
1748-08-15,Phillip York,venison pasty,1
1749-08-07,Phillip York,haunch of venison,1
1749-08-07,Phillip York,neck of venison,1
1749-08-07,Phillip York,venison pye,1
1749-08-21,William Battie,haunch of venison,1
1749-09-04,William Heberden,haunch of venison,1
1749-09-11,Peter Daval,haunch of venison,1
1749-09-24,William Young,turtle,1
1750-01-14,Charles Stanhope,lampreys,1
1750-01-28,Charles Stanhope,venison pasty,1
1750-07-16,Phillip York,haunch of venison,1
1750-07-16,Phillip York,neck of roast venison,1
1750-07-16,Phillip York,venison pasty,1
1750-07-30,Daniel Wray,haunch of venison,1
1750-08-06,Read,haunch of venison,1
1750-08-06,Read,venison pasty,1
1750-08-13,Read,haunch of venison,1
1750-08-13,Charles Stanhope,venison pasty,1
1751-07-07,William Hanbury,chine of beef,1
1751-07-15,Phillip York,haunch of venison,1
1751-08-05,William Heberden,haunch of venison,1
1751-08-26,Rockingham,haunch of venison,1
1751-08-26,Rockingham,neck of venison,1
1751-08-26,Rockingham,venison pasty,1
1751-09-22,Read,haunch of venison,1
1751-09-22,Read,neck of venison,1
1751-09-22,Read,venison pye,1
1752-07-05,Phillip York,haunch of venison,1
1752-07-05,Phillip York,neck of roast venison,1
1752-07-05,Phillip York,venison pasty,1
1752-07-27,Charles Stanhope,haunch of venison,1
1752-08-27,Matthew Featherstone,haunch of venison,1
1752-08-27,Matthew Featherstone,neck of roast venison,1
1752-08-27,Matthew Featherstone,venison pasty,1
1752-08-31,Charles Stanhope,venison pye,1
1752-09-21,William Heberden,haunch of venison,1
1752-09-28,Charles Stanhope,haunch of venison,1
1752-09-28,Cole,water melon,1
1752-11-09,William Watson,water melon,1
1752-12-14,Rockingham,haunch of venison,1
1753-03-22,James Douglas,tusk,2
1753-06-07,Philip Miller,lettuces,1
1753-06-14,Philip Miller,lettuces,1
1753-06-21,Philip Miller,lettuces,1
1753-06-28,Phillip York,haunch of roast venison,1
1753-06-28,Phillip York,neck of roast venison,1
1753-06-28,Phillip York,venison pasty,1
1753-07-26,Philip Miller,cantaloupe,4
1753-08-16,Peter Daval,neck of roast venison,1
1753-08-16,Charles Stanhope,venison pasty,3
1753-09-27,James West,turtle,1
1754-04-25,Hugh Hume,pickled salmon,1
1754-05-02,Hugh Hume,pickled salmon,1
1754-05-09,Hugh Hume,pickled salmon,1
1754-05-16,Hugh Hume,pickled salmon,1
1754-05-23,Hugh Hume,pickled salmon,1
1754-06-20,Philip Miller,lettuces,1
1754-06-27,Thomas Birch,turbot,1
1754-06-27,Philip Miller,lettuces,1
1754-07-04,Philip Miller,lettuces,1
1754-07-11,Phillip York,haunch of venison,1
1754-07-11,Phillip York,neck of venison,1
1754-07-11,Phillip York,venison pasty,1
1754-07-13,Shaftesbury,haunch of venison,1
