Source,Target,Weight
William Watson,Josiah Colebrooke,738
Thomas Birch,Josiah Colebrooke,666
James Burrow,Josiah Colebrooke,602
Nicholas Munckley,Josiah Colebrooke,576
William Watson,James Burrow,530
Gowin Knight,Josiah Colebrooke,513
William Watson,Thomas Birch,513
John Ellicot,Josiah Colebrooke,465
William Watson,Nicholas Munckley,454
Gowin Knight,Thomas Birch,450
Thomas Birch,Nicholas Munckley,448
Daniel Wray,Josiah Colebrooke,435
Henry Cavendish,James Burrow,414
Henry Cavendish,William Watson,406
Gowin Knight,William Watson,406
Thomas Birch,James Burrow,396
William Watson,Daniel Wray,396
Henry Cavendish,John Pringle,377
Thomas Birch,John Ellicot,365
Henry Cavendish,Josiah Colebrooke,364
William Watson,John Ellicot,357
Henry Cavendish,William Russell,339
Nicholas Munckley,James Burrow,338
Daniel Solander,Henry Cavendish,336
Philip Miller,Josiah Colebrooke,332
Samuel Squire,Josiah Colebrooke,332
William Hall,Josiah Colebrooke,328
Thomas Birch,Daniel Wray,322
Gowin Knight,Nicholas Munckley,321
Philip Miller,Thomas Birch,319
Neville Maskeleyne,Henry Cavendish,315
John Ellicot,Nicholas Munckley,310
James Burrow,Daniel Wray,308
Gowin Knight,James Burrow,303
John Pringle,William Watson,291
Gowin Knight,John Ellicot,287
William Hall,Thomas Birch,279
Nicholas Munckley,Daniel Wray,278
John Pringle,James Burrow,276
William Hall,William Watson,274
Hugh Willoughby,Josiah Colebrooke,274
John Pringle,Josiah Colebrooke,271
Samuel Squire,Thomas Birch,267
John Ellicot,James Burrow,267
Philip Miller,Gowin Knight,261
Samuel Squire,William Watson,261
Gowin Knight,Daniel Wray,259
William Heberden,Josiah Colebrooke,255
Charles Morton,Henry Cavendish,245
Alexander Aubert,Henry Cavendish,244
Richard Roderick,Josiah Colebrooke,242
Gowin Knight,Samuel Squire,241
Thomas Birch,Hugh Willoughby,240
Daniel Solander,John Pringle,236
William Heberden,William Watson,235
Daniel Solander,William Russell,234
Philip Miller,William Watson,230
William Hall,James Burrow,228
John Ellicot,Daniel Wray,226
William Russell,John Pringle,224
Samuel Horsley,Henry Cavendish,221
Matthew Raper,Josiah Colebrooke,215
Samuel Squire,Nicholas Munckley,209
Mark Akenside,Josiah Colebrooke,208
Philip Miller,Nicholas Munckley,207
Edward Hooper,Henry Cavendish,206
Samuel Dyer,Josiah Colebrooke,206
William Watson,Hugh Willoughby,205
Richard Roderick,William Watson,204
William Tempest,Josiah Colebrooke,203
Charles  Feake,Josiah Colebrooke,203
William Hall,Nicholas Munckley,203
Samuel Squire,James Burrow,202
Richard Roderick,Thomas Birch,201
Samuel Squire,John Ellicot,201
Henry Cavendish,Matthew Raper,200
Peter Newcome,Josiah Colebrooke,200
William Hall,Gowin Knight,199
George Parker Macclesfield,Josiah Colebrooke,199
George Bell,Josiah Colebrooke,198
William Hall,John Ellicot,196
Henry Cavendish,Daniel Wray,196
Daniel Solander,Alexander Aubert,194
George Parker Macclesfield,Thomas Birch,193
Mark Akenside,Thomas Birch,192
Philip Miller,John Ellicot,192
Neville Maskeleyne,John Pringle,191
Neville Maskeleyne,James Burrow,190
Philip Miller,James Burrow,189
Peter Newcome,Thomas Birch,188
William Heberden,Thomas Birch,187
Daniel Solander,Neville Maskeleyne,186
Alexander Aubert,John Pringle,186
William Heberden,James Burrow,185
Gowin Knight,Hugh Willoughby,184
Samuel Squire,Daniel Wray,184
William Heberden,Gowin Knight,182
William Hall,Daniel Wray,181
William Russell,James Burrow,179
William Heberden,Daniel Wray,179
Daniel Solander,James Burrow,177
Alexander Dalrymple,Henry Cavendish,175
John Walsh,Henry Cavendish,175
Neville Maskeleyne,William Russell,174
Neville Maskeleyne,William Watson,174
Peter Daval,Josiah Colebrooke,174
Richard Roderick,Daniel Wray,174
William Tempest,Thomas Birch,173
Charles  Feake,William Watson,173
Samuel Clark,Josiah Colebrooke,173
William Russell,William Watson,173
James Burrow,Hugh Willoughby,172
Samuel Clark,Thomas Birch,170
William Heberden,Nicholas Munckley,170
Samuel Squire,Hugh Willoughby,169
Alexander Aubert,William Russell,169
Charles Morton,James Burrow,168
Samuel Horsley,John Pringle,168
John Ross,Josiah Colebrooke,168
Nicholas Munckley,Hugh Willoughby,167
Henry Cavendish,Nicholas Munckley,167
Mark Akenside,William Watson,167
Peter Daval,Thomas Birch,166
Matthew Raper,William Watson,166
Charles Morton,Josiah Colebrooke,165
William Tempest,William Watson,165
Charles Morton,William Watson,164
James Stuart,Henry Cavendish,164
Richard Roderick,Nicholas Munckley,163
Mark Akenside,Gowin Knight,162
John Pringle,Daniel Wray,162
Philip Miller,Samuel Squire,162
George Parker Macclesfield,Gowin Knight,162
Gowin Knight,Richard Roderick,161
George Bell,Thomas Birch,160
George Bell,William Watson,159
Matthew Raper,John Pringle,158
Neville Maskeleyne,Josiah Colebrooke,156
Philip Miller,Daniel Wray,154
Peter Newcome,William Watson,153
Charles  Feake,Thomas Birch,152
Richard Roderick,John Ellicot,152
William Heberden,John Ellicot,150
Daniel Solander,Samuel Horsley,149
James Douglas,Josiah Colebrooke,147
Daniel Solander,William Watson,147
John Ellicot,Hugh Willoughby,146
Richard Roderick,Samuel Squire,146
William Tempest,Gowin Knight,145
William Tempest,Samuel Squire,145
Peter Daval,William Watson,145
Samuel Dyer,William Watson,145
Richard Roderick,James Burrow,144
Matthew Raper,James Burrow,143
James Postlethwaite,Josiah Colebrooke,143
John Walsh,John Pringle,141
Charles  Feake,Nicholas Munckley,141
Daniel Solander,Alexander Dalrymple,141
Daniel Solander,Edward Hooper,139
Peter Newcome,Nicholas Munckley,138
Charles  Feake,Daniel Wray,138
Peter Daval,James Burrow,138
Henry Bolt Cay,Josiah Colebrooke,138
Mark Akenside,Nicholas Munckley,138
Charles Morton,John Pringle,137
Philip Miller,Mark Akenside,137
Henry Bolt Cay,Henry Cavendish,137
Peter Newcome,John Ellicot,136
Joseph Banks,Henry Cavendish,136
Gowin Knight,George Bell,134
Samuel Dyer,Nicholas Munckley,134
William Watson,James Postlethwaite,134
William Hall,Samuel Squire,134
Gowin Knight,Peter Daval,133
Mark Akenside,Richard Roderick,133
Neville Maskeleyne,Charles Morton,133
Henry Cavendish,Thomas Birch,133
Edward Hooper,William Russell,133
William Hall,William Heberden,132
Charles Stanhope,Josiah Colebrooke,132
Edward Hooper,John Pringle,132
George Bell,John Ellicot,130
George Bell,Daniel Wray,130
Philip Miller,George Parker Macclesfield,130
James Stuart,John Pringle,130
John Pringle,Thomas Birch,130
Gowin Knight,Peter Newcome,130
Hugh Willoughby,Daniel Wray,130
Charles  Feake,Samuel Squire,129
Gowin Knight,Charles  Feake,129
George Parker Macclesfield,William Watson,129
James Creed,Josiah Colebrooke,128
John Pringle,Gowin Knight,128
Alexander Aubert,Neville Maskeleyne,128
Alexander Dalrymple,William Russell,128
William Tempest,John Ellicot,128
Mark Akenside,John Ellicot,128
George Parker Macclesfield,John Ellicot,127
Alexander Aubert,James Burrow,127
George Parker Macclesfield,Samuel Squire,127
Philip Miller,Richard Roderick,127
Daniel Solander,John Walsh,127
